# E          M           C            S
-1.60000000  0.87374997  2.83733333  0.52365049
-1.80000000  0.94325000  1.07733333  0.15598043
-1.84950000  0.96025002  0.68959822  0.07947922
-1.85950000  0.96275002  0.60006933  0.07353274
-1.86700000  0.96499997  0.63687822  0.07693418
-1.85650000  0.96174997  0.59401067  0.07472801
-1.84900000  0.95999998  0.66985956  0.07360013
-1.87450000  0.96700001  0.46844267  0.05238406
-1.86650000  0.96550000  0.54081956  0.05863762
-1.87650000  0.96824998  0.46309511  0.04758072
-1.84550000  0.96025002  0.59558933  0.06081200
-1.84050000  0.95899999  0.64486933  0.06606929
-1.87100000  0.96700001  0.45410844  0.04638418
-1.85600000  0.96275002  0.50676622  0.05353228
-1.86250000  0.96425003  0.58111111  0.06270027
-1.86350000  0.96474999  0.57239289  0.05974579
-1.89000000  0.97175002  0.41528889  0.04315376
-1.85800000  0.96375000  0.53394489  0.05298360
-1.87800000  0.96850002  0.43815822  0.04541588
-1.85800000  0.96324998  0.66016711  0.06926092
-1.87200000  0.96675003  0.55726933  0.05920664
-1.86700000  0.96525002  0.53732267  0.05811882
-1.85800000  0.96375000  0.54638933  0.05498314
-1.84500000  0.95950001  0.54560000  0.05983671
-1.87600000  0.96775001  0.44710400  0.04723930
-1.85300000  0.96200001  0.55566933  0.05859756
-1.86750000  0.96550000  0.53026667  0.05863762
-1.86450000  0.96550000  0.54588267  0.05397097
-1.87700000  0.96824998  0.50041600  0.05158106
-1.87600000  0.96799999  0.46310400  0.04774412
-1.86250000  0.96450001  0.52955556  0.05522410
-1.84950000  0.96050000  0.62026489  0.06802368
-1.88000000  0.96899998  0.48960000  0.05174955
-1.88700000  0.97049999  0.43364267  0.04605103
-1.85550000  0.96249998  0.57596267  0.06033389
-1.85500000  0.96249998  0.61848889  0.06366730
-1.85150000  0.96200001  0.67607289  0.06859716
-1.85800000  0.96275002  0.57661156  0.06219927
-1.84050000  0.95850003  0.61998044  0.06696192
-1.86250000  0.96425003  0.50644444  0.05336698
-1.84850000  0.96050000  0.60389511  0.06602351
-1.87350000  0.96749997  0.46842844  0.04740079
-1.83650000  0.95749998  0.61790400  0.06606674
-1.84450000  0.95899999  0.60582933  0.06806946
-1.88500000  0.96950001  0.45706667  0.05141068
-1.86050000  0.96375000  0.50250489  0.05298360
-1.86050000  0.96375000  0.56650489  0.05964979
-1.86150000  0.96450001  0.53648178  0.05522410
-1.87050000  0.96675003  0.50563378  0.05120722
-1.84950000  0.96100003  0.58826489  0.06310908
-1.86250000  0.96399999  0.51000000  0.05550957
-1.86400000  0.96474999  0.55291733  0.05841255
-1.85400000  0.96300000  0.56486400  0.05539703
-1.88050000  0.96899998  0.44867378  0.04841614
-1.86400000  0.96525002  0.51913956  0.05278524
-1.84350000  0.95999998  0.61427733  0.06226667
-1.87700000  0.96875000  0.55730489  0.05525017
-1.85650000  0.96275002  0.61712178  0.06553268
-1.86700000  0.96574998  0.51776711  0.05248769
-1.86700000  0.96574998  0.59065600  0.06115405
-1.87050000  0.96600002  0.55007822  0.05966949
-1.85900000  0.96275002  0.63373511  0.07219950
-1.86700000  0.96525002  0.49998933  0.05478541
-1.87500000  0.96749997  0.46311111  0.04940033
-1.85400000  0.96200001  0.64486400  0.06993039
-1.87700000  0.96824998  0.51641600  0.05358060
-1.87650000  0.96775001  0.48442844  0.05257289
-1.86150000  0.96399999  0.54892622  0.05817668
-1.85650000  0.96300000  0.53356622  0.05539703
-1.87100000  0.96600002  0.51810844  0.05833562
-1.86150000  0.96399999  0.58981511  0.06417656
-1.88000000  0.96850002  0.50560000  0.05608241
-1.85350000  0.96224999  0.56471289  0.05846596
-1.87100000  0.96700001  0.47721956  0.04838435
-1.84650000  0.96050000  0.56044622  0.05802345
-1.83600000  0.95725000  0.73318400  0.07883962
-1.85850000  0.96375000  0.53584178  0.05431684
-1.87350000  0.96775001  0.49865067  0.04990578
-1.87550000  0.96775001  0.47022044  0.04923948
-1.88450000  0.97049999  0.45002489  0.04538409
-1.86400000  0.96450001  0.55113956  0.06055768
-1.87850000  0.96899998  0.50569067  0.05041631
-1.85950000  0.96324998  0.54318044  0.06126086
-1.86250000  0.96450001  0.55266667  0.05722427
-1.89450000  0.97299999  0.40529600  0.04089038
-1.88800000  0.97149998  0.42457600  0.04266993
-1.86700000  0.96550000  0.57998933  0.05997086
-1.87650000  0.96824998  0.50398400  0.05291430
-1.87100000  0.96724999  0.49321956  0.04822604
-1.86100000  0.96399999  0.55416178  0.05750974
-1.86900000  0.96550000  0.53218844  0.05797068
-1.86800000  0.96625000  0.50720711  0.05151685
-1.87650000  0.96824998  0.48620622  0.05024719
-1.86600000  0.96525002  0.53542400  0.05678558
-1.86450000  0.96450001  0.55654933  0.05989075
-1.86900000  0.96574998  0.53041067  0.05782064
-1.84950000  0.96100003  0.64693156  0.06844203
-1.86100000  0.96399999  0.54527289  0.05750974
-1.85650000  0.96324998  0.51401067  0.05192757
-1.86950000  0.96649998  0.44334044  0.04536311
