# E          M           C            S
-0.72300000  0.51249999  0.90191523  0.52033834
-0.88100000  0.57900000  0.84452302  0.52309002
-0.92200000  0.60175002  0.99343966  0.52802403
-0.95700000  0.62099999  0.94105854  0.51430681
-1.00600000  0.64050001  0.86499655  0.46981849
-1.01100000  0.64450002  0.91457876  0.49636980
-1.03000000  0.66575003  1.02440185  0.45425880
-1.02000000  0.66074997  0.98500975  0.46546121
-1.03650000  0.66025001  1.04760742  0.50022278
-1.01650000  0.65525001  0.92281741  0.47475130
-1.02500000  0.65574998  0.94359622  0.48933465
-1.02600000  0.66025001  0.96992465  0.47214500
-0.99700000  0.66125000  0.94850157  0.41089803
-1.01850000  0.66549999  0.96206437  0.45671559
-1.03650000  0.66974998  1.04346089  0.48000698
-1.02650000  0.66200000  0.89497341  0.45323818
-1.03000000  0.66374999  0.92073844  0.45409470
-1.03900000  0.66575003  0.99512523  0.47549711
-1.08100000  0.68150002  0.94943040  0.45533606
-1.07400000  0.68400002  0.93613038  0.43351449
-1.04950000  0.66949999  1.05928407  0.47635569
-1.07250000  0.67374998  0.99645160  0.48253260
-1.07450000  0.68500000  0.94919352  0.44326871
-1.06600000  0.68075001  0.99494900  0.45240140
-1.04500000  0.67124999  0.93758374  0.45402278
-1.04250000  0.66575003  0.98287169  0.48305647
-1.05650000  0.67549998  0.95097239  0.44535509
-1.02950000  0.66299999  0.95941474  0.46684521
-1.04600000  0.66750002  0.97782380  0.47051812
-1.03400000  0.66549999  0.96944780  0.48299382
-1.03300000  0.67000002  0.97217829  0.44154074
-1.06900000  0.68300003  0.93916772  0.43526839
-1.08700000  0.68524998  0.93127271  0.43859578
-1.02350000  0.65925002  1.00724089  0.49882333
-1.07000000  0.67025000  1.00004095  0.50026620
-1.03700000  0.67500001  0.99284878  0.44636404
-1.05400000  0.68124998  0.97564687  0.43120068
-1.05950000  0.67850000  0.98497813  0.44967735
-1.08700000  0.69274998  0.94112074  0.43306684
-1.06000000  0.67750001  0.95816093  0.45892744
-1.09950000  0.69174999  0.87849508  0.42808185
-1.07100000  0.68599999  0.92148274  0.41557388
-1.02450000  0.66624999  0.89777647  0.42810485
-1.07750000  0.69050002  0.99541497  0.42057432
-1.06850000  0.68624997  0.95615556  0.41953757
-1.07100000  0.68325001  0.95931989  0.44428023
-1.08950000  0.69825000  0.90055465  0.38432354
-1.07450000  0.68225002  0.97562769  0.44350542
-1.09450000  0.68624997  0.90486705  0.44473579
-1.06800000  0.67825001  0.97521563  0.45721045
-1.05000000  0.67124999  0.99776035  0.45978225
-1.01150000  0.66000003  0.88734379  0.44218836
-1.04850000  0.66675001  0.91746837  0.46782257
-1.03900000  0.66700000  0.95262323  0.45420301
-1.08300000  0.68699998  0.98088602  0.45950195
-1.07600000  0.68599999  1.00392625  0.47460900
-1.06750000  0.67624998  0.93363157  0.45589460
-1.10800000  0.68449998  0.93729556  0.46809085
-1.06600000  0.68400002  1.00946188  0.44575366
-1.05400000  0.68124998  0.91500378  0.42436121
-1.04400000  0.66299999  1.00774107  0.49348320
-1.05700000  0.67075002  0.96199855  0.46148688
-1.01900000  0.65824997  1.02811093  0.48301356
-1.02250000  0.65549999  0.98245704  0.47988356
-1.07350000  0.67650002  0.99511227  0.48004457
-1.05550000  0.66450000  1.04087345  0.51405191
-1.01800000  0.66200000  0.92089600  0.43991935
-1.01450000  0.65850002  0.95249002  0.46581858
-1.04100000  0.67675000  0.95643804  0.43040012
-1.03750000  0.66224998  1.04019756  0.50046789
-1.10300000  0.68875003  0.93533632  0.44149542
-1.04100000  0.67449999  0.93363209  0.41929314
-1.05000000  0.67874998  0.95214845  0.42234555
-1.04800000  0.67199999  0.96810432  0.45416010
-1.01850000  0.66175002  0.95532625  0.45604428
-1.04200000  0.67500001  0.94278972  0.42440584
-1.06450000  0.67949998  0.96555161  0.44725575
-1.03700000  0.66425002  0.93635222  0.47474821
-1.06750000  0.67624998  1.04455143  0.48433250
-1.08900000  0.68599999  1.03472465  0.48324837
-1.07450000  0.68949997  0.97251779  0.43500216
-1.07250000  0.67874998  0.99230506  0.46698184
-1.05800000  0.68124998  1.03173293  0.45999835
-1.07950000  0.68624997  0.88073421  0.41629789
-1.10050000  0.68650001  0.98278047  0.45949748
-1.07050000  0.67675000  0.91463214  0.46351747
-1.04300000  0.67100000  0.93639368  0.43993652
-1.03800000  0.66850001  0.89887790  0.43186616
-1.04250000  0.66624999  1.05439945  0.50477882
-1.02950000  0.65675002  0.97289098  0.49437371
-1.03350000  0.65649998  1.05374430  0.52272286
-1.01900000  0.65350002  0.96643120  0.47876304
-1.05800000  0.66549999  0.94724724  0.47687423
-1.03850000  0.66874999  0.95814590  0.45711845
-1.04250000  0.67299998  0.96473060  0.43453460
-1.04300000  0.67474997  1.01051303  0.45640731
-1.04350000  0.67175001  0.97284537  0.45483450
-1.03850000  0.65775001  1.06336426  0.53359932
-0.99450000  0.64125001  0.94146023  0.47346102
-1.01700000  0.65574998  0.93237154  0.46449655
