# E          M           C            S
-0.78950000  0.53649998  1.21889073  0.62546923
-0.93400000  0.60525000  1.33085360  0.63124379
-1.02900000  0.64399999  1.30577580  0.61657066
-1.04850000  0.65750003  1.23887761  0.56620407
-1.09350000  0.67900002  1.28247807  0.56907417
-1.19950000  0.71675003  1.15361562  0.53003586
-1.21200000  0.71899998  1.26972757  0.54699872
-1.18400000  0.71474999  1.25299565  0.52996029
-1.23200000  0.72974998  1.16014878  0.49878754
-1.23850000  0.74100000  1.19861752  0.48601608
-1.25900000  0.74650002  1.09734253  0.45198230
-1.22850000  0.74225003  1.05965363  0.42533232
-1.27550000  0.75174999  1.11569127  0.46610606
-1.28500000  0.76275003  1.07186540  0.42666346
-1.30850000  0.77174997  1.09240420  0.41994127
-1.24750000  0.74500000  1.22970042  0.46458033
-1.22100000  0.74024999  1.12745598  0.44214707
-1.27750000  0.75625002  1.06770565  0.44567158
-1.28450000  0.75375003  1.04150017  0.45850840
-1.27950000  0.76400000  1.06741934  0.40723594
-1.28050000  0.76625001  1.04466472  0.39590935
-1.28400000  0.76150000  0.98915765  0.39337705
-1.31850000  0.77950001  1.05216922  0.37760553
-1.31450000  0.77775002  0.98192628  0.36615615
-1.31450000  0.77700001  1.05224959  0.37374625
-1.24800000  0.75575000  1.13646490  0.41876844
-1.30200000  0.77050000  1.05873252  0.39392870
-1.28200000  0.76550001  0.94679288  0.35822335
-1.27400000  0.76324999  0.99814899  0.38062260
-1.29400000  0.77300000  0.95580431  0.35916644
-1.34050000  0.78425002  1.05217425  0.39173155
-1.32300000  0.77625000  1.06155801  0.39915804
-1.23550000  0.74624997  1.11554057  0.43830290
-1.25850000  0.75424999  1.07130721  0.41608992
-1.28550000  0.76650000  1.00741848  0.38179240
-1.28550000  0.76125002  1.09218319  0.43600448
-1.29150000  0.76400000  1.08662765  0.41912210
-1.30600000  0.77749997  0.98795211  0.36168816
-1.26350000  0.75924999  1.11309935  0.40417239
-1.27400000  0.75225002  1.07600694  0.45301873
-1.26850000  0.76024997  1.08569837  0.42029304
-1.28050000  0.76150000  1.15894010  0.43101583
-1.27800000  0.76275003  1.05350851  0.39140207
-1.29500000  0.76924998  0.95118558  0.36948192
-1.26750000  0.76324999  1.12283410  0.41073362
-1.25550000  0.75550002  1.03499527  0.39402354
-1.27600000  0.76475000  1.05503553  0.37045109
-1.29500000  0.76775002  1.02339255  0.39003882
-1.28100000  0.76875001  1.12652671  0.38861888
-1.32600000  0.77950001  1.07989984  0.39781141
-1.30000000  0.77050000  1.02157168  0.39155170
-1.29800000  0.76875001  1.05785348  0.39337327
-1.31000000  0.77174997  1.03827346  0.39933903
-1.24800000  0.75125003  1.06237427  0.41540187
-1.27400000  0.75700003  1.10112241  0.42916591
-1.25900000  0.75325000  1.09231944  0.43158901
-1.30050000  0.76749998  1.06822303  0.42119646
-1.31850000  0.77424997  0.97054395  0.37840391
-1.31650000  0.77450001  1.02333667  0.40110733
-1.28450000  0.76650000  1.07791760  0.39922492
-1.25250000  0.74550003  1.10098365  0.46183644
-1.25450000  0.75274998  1.13987746  0.43517436
-1.27800000  0.75800002  1.01771896  0.41243089
-1.24800000  0.75325000  1.09000128  0.42128827
-1.21850000  0.74175000  1.02378874  0.40547179
-1.26450000  0.75924999  1.05212402  0.38396651
-1.29100000  0.76424998  1.07511534  0.41452149
-1.21550000  0.74400002  1.01512893  0.38725185
-1.24750000  0.75125003  1.05012482  0.40906280
-1.23450000  0.74874997  1.09976806  0.41262926
-1.26600000  0.75524998  1.09125203  0.42435031
-1.24950000  0.74624997  1.07211593  0.43513318
-1.25700000  0.74774998  1.10558543  0.44905705
-1.27950000  0.75849998  1.04293175  0.41515249
-1.26700000  0.75524998  1.05789115  0.41127583
-1.26650000  0.75800002  1.01366721  0.40569547
-1.29550000  0.76475000  1.02610439  0.40848622
-1.29000000  0.77149999  1.02634361  0.37306047
-1.28800000  0.76450002  1.10836069  0.41586208
-1.28450000  0.76249999  1.00696640  0.39718722
-1.23100000  0.74500000  1.14498658  0.43446931
-1.25150000  0.75199997  1.07336668  0.43182894
-1.26300000  0.75199997  1.10151672  0.44014941
-1.24350000  0.74800003  1.17875118  0.43737529
-1.24900000  0.74924999  1.12830990  0.43244483
-1.20850000  0.73400003  1.13623070  0.45122964
-1.23100000  0.73474997  1.26868026  0.52764639
-1.24350000  0.73250002  1.10717210  0.52064157
-1.25950000  0.74924999  1.19369991  0.47681902
-1.27250000  0.75300002  1.18951567  0.47022794
-1.28750000  0.76574999  0.94740256  0.36827698
-1.28150000  0.76424998  1.11608809  0.40303168
-1.32150000  0.77574998  0.96886121  0.37436251
-1.30450000  0.77249998  1.00124008  0.37476265
-1.26300000  0.76249999  1.02742609  0.36786853
-1.28150000  0.76525003  1.03948591  0.38818474
-1.33300000  0.78950000  0.96973586  0.32132968
-1.31900000  0.78700000  0.99140549  0.31501404
-1.31500000  0.78074998  1.01409982  0.36108248
-1.32250000  0.77824998  1.09533267  0.41074949
