# E          M           C            S
-0.94700000  0.60874999  1.70987543  0.73877291
-1.12300000  0.68575001  1.65060997  0.64850169
-1.26800000  0.73699999  1.62591862  0.63388996
-1.34500000  0.77324998  1.49399003  0.54731239
-1.38050000  0.79275000  1.38015108  0.47917994
-1.40200000  0.80350000  1.24434475  0.42891345
-1.47850000  0.83399999  1.16204050  0.36804936
-1.47950000  0.83850002  1.11477730  0.31806236
-1.52150000  0.85025001  1.01908238  0.30837347
-1.51600000  0.84875000  1.02555046  0.31268203
-1.46100000  0.82650000  1.17234669  0.38006338
-1.48500000  0.84025002  1.14685042  0.33370573
-1.46550000  0.83025002  1.09296065  0.33691435
-1.50250000  0.84275001  1.03215373  0.32078384
-1.55250000  0.85900003  1.04225403  0.31110756
-1.51100000  0.84425002  1.05627092  0.32673874
-1.51250000  0.84950000  1.05111122  0.30436165
-1.48850000  0.84074998  1.09780258  0.31676110
-1.49000000  0.84025002  1.04312809  0.31034723
-1.51600000  0.85224998  0.99291872  0.27687069
-1.50250000  0.84775001  1.03059984  0.28277599
-1.53200000  0.85450000  0.99830140  0.28923568
-1.51200000  0.85000002  0.99870541  0.27985865
-1.55400000  0.86350000  0.96911308  0.28113007
-1.53100000  0.85325003  0.95731904  0.29084629
-1.49100000  0.83525002  1.18692221  0.39233926
-1.50700000  0.84649998  1.06970277  0.31115211
-1.52100000  0.85075003  1.13064022  0.32749655
-1.49700000  0.84050000  1.11955164  0.34991441
-1.53950000  0.85175002  1.10812664  0.34898638
-1.52050000  0.84850001  1.13264707  0.34057437
-1.53400000  0.85699999  1.00954537  0.28110023
-1.51900000  0.85325003  1.09359542  0.30098281
-1.53400000  0.85549998  0.98623698  0.29083998
-1.53500000  0.85025001  1.17637438  0.35597144
-1.49950000  0.84275001  1.27846435  0.37146686
-1.54000000  0.85650003  0.98019544  0.30212604
-1.48350000  0.84025002  1.19992440  0.34031631
-1.49100000  0.84025002  1.11544315  0.33855354
-1.51100000  0.84925002  1.06170954  0.30493158
-1.51700000  0.85224998  1.03632515  0.30111016
-1.57200000  0.86774999  0.96128768  0.27530127
-1.56150000  0.86624998  0.97147111  0.26146984
-1.53150000  0.85500002  1.02287388  0.30700705
-1.50800000  0.84625000  1.01060823  0.31744157
-1.51500000  0.85575002  1.07847915  0.27438122
-1.49500000  0.84025002  1.05501537  0.33414621
-1.51450000  0.84850001  1.00898830  0.31589400
-1.51850000  0.85224998  1.06684904  0.30419521
-1.51200000  0.85025001  1.15953330  0.32291732
-1.52400000  0.85200000  0.99114728  0.30080922
-1.52550000  0.85350001  1.08220772  0.31317925
-1.52400000  0.84974998  1.06806496  0.32802950
-1.50450000  0.84625000  1.06474196  0.31127148
-1.50700000  0.84350002  1.00832401  0.31340831
-1.52500000  0.85299999  0.97157134  0.28526042
-1.53000000  0.85525000  1.02743378  0.30244968
-1.51400000  0.85000002  1.10964713  0.30497992
-1.54100000  0.86049998  1.03743774  0.28763179
-1.54650000  0.86199999  1.01379915  0.28571898
-1.53250000  0.85900003  0.94731119  0.26218730
-1.52150000  0.85450000  1.02452101  0.28262510
-1.49650000  0.84700000  1.03058119  0.28005998
-1.53900000  0.85724998  1.03327331  0.29063866
-1.54800000  0.86250001  0.90808240  0.25275438
-1.52700000  0.85325003  1.09089786  0.30230509
-1.53850000  0.86100000  0.97706513  0.26701788
-1.56100000  0.86774999  0.86716219  0.23783982
-1.53800000  0.85675001  1.01719674  0.30814020
-1.53000000  0.85874999  0.96838586  0.25309608
-1.53650000  0.85825002  0.95344596  0.26840447
-1.48700000  0.84200001  1.10584631  0.32198172
-1.50650000  0.84899998  1.07166611  0.30462098
-1.52800000  0.85549998  0.96408469  0.26395595
-1.56150000  0.86374998  0.97690974  0.27874652
-1.51150000  0.84850001  1.08614839  0.32030133
-1.50800000  0.84200001  1.17920558  0.37310522
-1.48900000  0.84200001  1.08113320  0.31272658
-1.52450000  0.85025001  0.97592146  0.29427010
-1.49950000  0.84275001  1.18989247  0.35075292
-1.49350000  0.84050000  1.17422302  0.35652541
-1.52050000  0.85075003  1.00988956  0.30854579
-1.50700000  0.84925002  1.13341236  0.31815357
-1.54150000  0.85600001  1.01438963  0.31477473
-1.51900000  0.84724998  1.01590079  0.32533240
-1.53850000  0.85949999  1.00425825  0.27992800
-1.52000000  0.85350001  0.99946371  0.29114302
-1.53450000  0.85624999  1.02925106  0.28597452
-1.53200000  0.85799998  1.08376549  0.29060209
-1.52400000  0.85600001  0.98881644  0.26497309
-1.53650000  0.85399997  1.01715556  0.30804101
-1.50500000  0.84625000  1.06433873  0.31435653
-1.54850000  0.85825002  1.00932394  0.31644334
-1.52300000  0.85075003  1.08374995  0.33322616
-1.53500000  0.85600001  1.05905549  0.30331593
-1.53600000  0.85525000  1.07825850  0.31787533
-1.49000000  0.84125000  1.08896793  0.32096752
-1.46950000  0.83399999  1.20720284  0.36055698
-1.45200000  0.82849997  1.15592827  0.35936752
-1.48200000  0.83275002  1.14498886  0.37370541
