# E          M           C            S
-0.82600000  0.57975000  1.58585344  0.68789558
-0.95100000  0.63325000  1.66745344  0.68816452
-1.02400000  0.66949999  1.38796544  0.57772655
-1.10950000  0.69950002  1.35650496  0.56767826
-1.14050000  0.71499997  1.32002496  0.53335991
-1.17950000  0.73350000  1.29319616  0.48745728
-1.18650000  0.73900002  1.25335744  0.46122513
-1.19300000  0.74349999  1.23072256  0.45572968
-1.21850000  0.74825001  1.21505984  0.45938034
-1.21800000  0.74699998  1.14425856  0.44274254
-1.19050000  0.73799998  1.28085696  0.47787895
-1.14950000  0.72425002  1.28966336  0.50315628
-1.20600000  0.74774998  1.17392384  0.44176788
-1.19200000  0.74199998  1.24642816  0.46439056
-1.21450000  0.75050002  1.27005376  0.44599800
-1.24800000  0.76200002  1.12958976  0.41067848
-1.23300000  0.75375003  1.19542016  0.45570984
-1.18850000  0.74524999  1.23479744  0.43325539
-1.18400000  0.73825002  1.22596864  0.45891647
-1.24500000  0.75575000  1.18585600  0.44518852
-1.22750000  0.75500000  1.23742400  0.43824005
-1.22250000  0.75325000  1.15550400  0.41253242
-1.26250000  0.76450002  1.07768000  0.41345444
-1.24100000  0.75900000  1.09099264  0.42268181
-1.27600000  0.77375001  1.03250944  0.38658981
-1.25700000  0.76625001  1.07635456  0.38810997
-1.28150000  0.77300000  1.14081984  0.40861435
-1.27050000  0.76700002  1.16340416  0.42695007
-1.21300000  0.75449997  1.14465536  0.40107079
-1.22300000  0.75099999  1.09317376  0.39759369
-1.19600000  0.74699998  1.14453504  0.42314262
-1.22450000  0.75274998  1.15769536  0.43975182
-1.21950000  0.74874997  1.09937856  0.42459030
-1.22250000  0.75199997  1.11198400  0.40997467
-1.20650000  0.75349998  1.09819584  0.38592148
-1.23750000  0.76300001  1.08280000  0.38571854
-1.20400000  0.75625002  1.18626304  0.39194984
-1.19200000  0.74800003  1.22146816  0.41717415
-1.21950000  0.74924999  1.14417856  0.43859634
-1.19350000  0.74175000  1.23886784  0.45256424
-1.17700000  0.73575002  1.19403776  0.45290031
-1.22200000  0.75475001  1.20823296  0.44405518
-1.22650000  0.75550002  1.17650624  0.39500618
-1.25500000  0.76525003  1.22809600  0.43351135
-1.22700000  0.75325000  1.12760576  0.42173233
-1.25400000  0.76349998  1.24347904  0.44283371
-1.20500000  0.75024998  1.18585600  0.42819977
-1.22600000  0.75625002  1.20428544  0.43354988
-1.22100000  0.75024998  1.26952704  0.46779976
-1.23150000  0.75349998  1.12200384  0.43272171
-1.20950000  0.74750000  1.26652096  0.45676003
-1.23600000  0.75575000  1.13037824  0.42118835
-1.23500000  0.75950003  1.17958400  0.42542229
-1.22650000  0.75475001  1.05426624  0.40605545
-1.27150000  0.77324998  1.10697664  0.39034042
-1.27300000  0.77525002  1.14488576  0.38851929
-1.29350000  0.77974999  1.09051584  0.38613548
-1.25400000  0.76899999  1.14555904  0.38728981
-1.32000000  0.78250003  1.05433600  0.40283966
-1.24300000  0.76574999  1.10195456  0.37981262
-1.29950000  0.78125000  1.01484736  0.36674995
-1.28000000  0.77200001  1.03513600  0.38650208
-1.22000000  0.75674999  1.14201600  0.41110878
-1.27200000  0.78025001  1.20132096  0.36554337
-1.27100000  0.76625001  1.08431104  0.40770988
-1.27800000  0.77375001  1.03799296  0.39818993
-1.26900000  0.77149999  1.06403584  0.38304176
-1.23900000  0.76174998  1.24193024  0.43131676
-1.24600000  0.75950003  1.10907904  0.41782227
-1.20000000  0.74575001  1.19296000  0.44408417
-1.22100000  0.75024998  1.12680704  0.42659988
-1.28750000  0.77550000  1.02008000  0.37903824
-1.27050000  0.77300000  1.12244416  0.38821449
-1.31000000  0.78825003  1.06086400  0.35803604
-1.27750000  0.77375001  1.12862400  0.39659004
-1.22400000  0.76349998  1.15026944  0.37483368
-1.27700000  0.77050000  1.07653376  0.41211052
-1.23600000  0.76099998  1.17709824  0.40122566
-1.17650000  0.73774999  1.12633024  0.42803955
-1.20400000  0.74599999  1.21826304  0.43669777
-1.16600000  0.73075002  1.32401664  0.50582848
-1.22700000  0.75625002  1.20760576  0.42794991
-1.26200000  0.76749998  1.10491136  0.39323997
-1.21950000  0.75449997  1.22865856  0.44147072
-1.23000000  0.75349998  1.21689600  0.45272141
-1.22950000  0.75349998  1.20820416  0.44632149
-1.18900000  0.73774999  1.21479424  0.45203972
-1.20250000  0.75174999  1.19198400  0.40418053
-1.22150000  0.75524998  1.24752064  0.43682404
-1.18800000  0.73600000  1.20871936  0.48034554
-1.21950000  0.74949998  1.24529856  0.46359863
-1.25550000  0.76475000  1.14328256  0.41160774
-1.27400000  0.76824999  1.15500544  0.42406845
-1.19850000  0.74349999  1.16857024  0.43212967
-1.25400000  0.76700002  1.12827904  0.39735031
-1.25250000  0.76324999  1.10494400  0.40347672
-1.24750000  0.76200002  1.09918400  0.40547829
-1.24200000  0.75999999  1.07119616  0.40936012
-1.28200000  0.77574998  1.06681856  0.38235664
-1.25600000  0.76700002  1.12438784  0.40895042
