# E          M           C            S
-0.28750000  0.31450000  0.13518000  0.17028720
-0.32600000  0.34799999  0.14062336  0.17926724
-0.29600000  0.33825001  0.13240576  0.16797819
-0.30750000  0.34250000  0.12628400  0.16782002
-0.30900000  0.33974999  0.14049216  0.16492381
-0.27550000  0.32400000  0.12494384  0.16087680
-0.31550000  0.33774999  0.14133424  0.17565982
-0.31200000  0.33524999  0.13353984  0.16144381
-0.32200000  0.34999999  0.13924224  0.17760003
-0.32200000  0.33950001  0.15140224  0.18496718
-0.31700000  0.33800000  0.12784704  0.17441921
-0.31800000  0.34900001  0.14920064  0.17543678
-0.29500000  0.33600000  0.14254400  0.18333282
-0.28350000  0.32975000  0.11600176  0.16454780
-0.27000000  0.33475000  0.13110400  0.16791580
-0.31500000  0.33875000  0.13729600  0.17189498
-0.29900000  0.33175001  0.11686336  0.16591420
-0.28300000  0.31999999  0.13818304  0.16991999
-0.29950000  0.33724999  0.13595184  0.16533983
-0.31200000  0.33399999  0.12409984  0.16702080
-0.31950000  0.34599999  0.12146864  0.16510882
-0.30450000  0.33050001  0.13065904  0.17366316
-0.26850000  0.32374999  0.12978096  0.16009502
-0.30050000  0.33825001  0.10852784  0.14897819
-0.32800000  0.34275001  0.13146624  0.17277176
-0.32800000  0.34349999  0.12698624  0.16602480
-0.28700000  0.32650000  0.13288384  0.16747279
-0.29000000  0.34299999  0.13785600  0.16072323
-0.30300000  0.32949999  0.14124224  0.16637523
-0.31200000  0.33050001  0.12521984  0.17186320
-0.33850000  0.35124999  0.14498736  0.17469504
-0.31900000  0.33950001  0.12863296  0.17296720
-0.30600000  0.31424999  0.13495296  0.17249024
-0.31400000  0.35200000  0.13369856  0.16810720
-0.33150000  0.35725001  0.16318896  0.18049178
-0.29800000  0.33125001  0.12748544  0.16317499
-0.34700000  0.36025000  0.14261824  0.17960382
-0.30300000  0.33274999  0.12524224  0.16138783
-0.27050000  0.32775000  0.13949104  0.16835580
-0.27650000  0.31200001  0.12555056  0.16129920
-0.29650000  0.34175000  0.13693616  0.16576221
-0.33150000  0.33950001  0.14878896  0.18996716
-0.31850000  0.34924999  0.14971696  0.17837820
-0.33400000  0.34950000  0.13212416  0.16751921
-0.29400000  0.32075000  0.13412096  0.17788222
-0.35400000  0.34850001  0.13099776  0.17355280
-0.31300000  0.34325001  0.14081984  0.17587416
-0.28650000  0.32775000  0.12242736  0.16095581
-0.32650000  0.34625000  0.12641456  0.16885502
-0.29050000  0.32650000  0.13695024  0.17527280
-0.32150000  0.33274999  0.13024816  0.17438784
-0.30550000  0.33600000  0.14210864  0.16813283
-0.28150000  0.33050001  0.12584496  0.16146319
-0.30200000  0.32675001  0.12034944  0.16325016
-0.33200000  0.34599999  0.13265664  0.17390885
-0.29500000  0.33324999  0.12366400  0.16832223
-0.29900000  0.32049999  0.10790336  0.15789526
-0.29900000  0.32400000  0.13782336  0.18347678
-0.32350000  0.34325001  0.13902256  0.17567418
-0.30250000  0.33575001  0.12327600  0.16937017
-0.31350000  0.34125000  0.13365936  0.16825500
-0.30150000  0.34474999  0.13246256  0.17717180
-0.28800000  0.32600001  0.13011584  0.17271676
-0.32850000  0.33399999  0.13229616  0.17882080
-0.30900000  0.34299999  0.12369216  0.15812323
-0.30750000  0.34725001  0.14164400  0.18043578
-0.30200000  0.32325000  0.12786944  0.16953020
-0.30650000  0.34050000  0.13979696  0.16839120
-0.31400000  0.34250000  0.12041856  0.16122003
-0.29500000  0.33550000  0.12782400  0.17540720
-0.27450000  0.32174999  0.14033584  0.17982624
-0.34350000  0.35650000  0.13976496  0.17530479
-0.29800000  0.34099999  0.14380544  0.17170084
-0.30200000  0.34549999  0.13186944  0.17201521
-0.31100000  0.33125001  0.13777856  0.16897500
-0.29550000  0.32775000  0.12195504  0.15655580
-0.30100000  0.33125001  0.12265536  0.16117499
-0.29100000  0.33000001  0.12980416  0.16691995
-0.33950000  0.34349999  0.12839344  0.17982481
-0.33250000  0.35775000  0.14116400  0.17434783
-0.30300000  0.33649999  0.12540224  0.15865684
-0.27050000  0.33074999  0.12701104  0.15923421
-0.29150000  0.33350000  0.14777776  0.16968880
-0.30750000  0.32425001  0.12612400  0.16085818
-0.31300000  0.34000000  0.12577984  0.15488000
-0.32300000  0.34375000  0.11194944  0.15977502
-0.28900000  0.31799999  0.13534656  0.18260319
-0.26850000  0.33250001  0.14706096  0.16161995
-0.28800000  0.31250000  0.12739584  0.17410002
-0.32200000  0.34549999  0.14452224  0.18001521
-0.30300000  0.32875001  0.11916224  0.16165495
-0.28350000  0.34150001  0.13856176  0.16400878
-0.33700000  0.34924999  0.13515584  0.17437820
-0.29500000  0.33625001  0.14254400  0.17629499
-0.30000000  0.34175000  0.13680000  0.16836221
-0.28950000  0.33000001  0.11700144  0.15771995
-0.32150000  0.34450001  0.14032816  0.17322321
-0.28400000  0.33675000  0.11318016  0.14781818
-0.29900000  0.33149999  0.12374336  0.16354480
-0.28350000  0.31825000  0.11824176  0.15619419
