# E          M           C            S
-1.91900000  0.97775000  3.64409600  0.17515755
-1.93900000  0.98474997  2.22585600  0.06955910
-1.93650000  0.98374999  2.54993600  0.08655167
-1.95100000  0.98774999  1.73433600  0.05419731
-1.92950000  0.98199999  2.39390400  0.07963181
-1.92200000  0.98000002  3.16262400  0.10919762
-1.93500000  0.98325002  2.64160000  0.09002113
-1.93450000  0.98325002  2.72542400  0.09202003
-1.92100000  0.97974998  3.13657600  0.10587883
-1.94650000  0.98600000  1.93681600  0.06972885
-1.93600000  0.98350000  2.13785600  0.07328606
-1.93200000  0.98224998  2.68006400  0.09491920
-1.92450000  0.98049998  3.06718400  0.10383224
-1.92500000  0.98075002  3.28800000  0.11114120
-1.93700000  0.98400003  2.51398400  0.08180618
-1.92850000  0.98199999  2.62481600  0.08363152
-1.94250000  0.98549998  1.97240000  0.06327438
-1.94250000  0.98549998  2.19640000  0.07127380
-1.93850000  0.98425001  2.05393600  0.06906128
-1.94050000  0.98449999  2.37342400  0.08431244
-1.93500000  0.98350000  2.24160000  0.07328606
-1.92950000  0.98224998  2.60190400  0.08292007
-1.94600000  0.98624998  2.03737600  0.06695175
-1.93250000  0.98250002  2.26040000  0.08019829
-1.92400000  0.98025000  2.95833600  0.10451889
-1.93450000  0.98275000  2.82142400  0.10547829
-1.93600000  0.98374999  2.15385600  0.07055092
-1.93450000  0.98350000  2.64542400  0.08528709
-1.93450000  0.98299998  2.35742400  0.08275223
-1.93200000  0.98250002  2.24806400  0.07819939
-1.93150000  0.98250002  2.61969600  0.08819962
-1.93850000  0.98425001  2.43793600  0.08106041
-1.92850000  0.98100001  2.56081600  0.09844589
-1.93800000  0.98350000  2.45798400  0.09328651
-1.93450000  0.98350000  2.54942400  0.08128738
-1.92700000  0.98150003  2.81094400  0.09104538
-1.92800000  0.98124999  2.62822400  0.09175110
-1.93450000  0.98325002  2.21342400  0.07402039
-1.94000000  0.98474997  2.34560000  0.07755852
-1.93600000  0.98374999  2.24985600  0.07455063
-1.95250000  0.98799998  1.59160000  0.05139351
-1.92950000  0.98199999  2.84190400  0.09363174
-1.92300000  0.98025000  2.66054400  0.09051895
-1.92850000  0.98199999  3.00881600  0.09563255
-1.93650000  0.98374999  2.37393600  0.08055115
-1.94250000  0.98500001  2.27640000  0.08279800
-1.92650000  0.98100001  2.70225600  0.09244728
-1.94750000  0.98675001  1.71960000  0.05538177
-1.92900000  0.98100001  2.92537600  0.11444664
-1.94100000  0.98500001  2.44921600  0.08079910
-1.93050000  0.98250002  2.57886400  0.08219910
-1.92400000  0.98075002  3.16633600  0.10313988
-1.93050000  0.98175001  2.80286400  0.10234070
-1.94000000  0.98449999  1.97760000  0.06831169
-1.94700000  0.98650002  1.88422400  0.06216621
-1.93650000  0.98350000  2.75793600  0.09728622
-1.93600000  0.98374999  2.37785600  0.07855225
-1.93650000  0.98374999  2.37393600  0.08055115
-1.94050000  0.98474997  2.13342400  0.07155991
-1.93800000  0.98449999  2.05798400  0.06431198
-1.92150000  0.98025000  2.81361600  0.09051895
-1.93300000  0.98299998  2.60870400  0.08475304
-1.93450000  0.98350000  2.42142400  0.07728767
-1.92300000  0.98049998  3.34854400  0.10783195
-1.94600000  0.98650002  2.18137600  0.06816483
-1.92900000  0.98199999  2.89337600  0.09363174
-1.94250000  0.98549998  2.03640000  0.06527328
-1.94350000  0.98549998  2.05969600  0.06927490
-1.92250000  0.98049998  2.63160000  0.08383179
-1.93100000  0.98199999  2.63929600  0.09763145
-1.93350000  0.98299998  2.55697600  0.08475304
-1.94000000  0.98449999  2.29760000  0.07831192
-1.94000000  0.98500001  2.00960000  0.06279945
-1.94200000  0.98525000  2.00870400  0.06603813
-1.93000000  0.98224998  2.61440000  0.08491898
-1.93800000  0.98400003  2.47398400  0.08380699
-1.93350000  0.98325002  2.31697600  0.07402039
-1.92750000  0.98150003  2.72760000  0.09104538
-1.93600000  0.98374999  2.69785600  0.08855057
-1.93500000  0.98299998  2.65760000  0.09275246
-1.94300000  0.98549998  1.79206400  0.05927467
-1.93500000  0.98374999  2.44960000  0.07655144
-1.92600000  0.98124999  2.57753600  0.08375168
-1.93700000  0.98374999  2.06598400  0.07255173
-1.93900000  0.98449999  2.08185600  0.06831169
-1.93100000  0.98224998  2.76729600  0.09291840
-1.94650000  0.98624998  2.17681600  0.07295036
-1.93200000  0.98224998  2.60006400  0.09091949
-1.93600000  0.98374999  2.28185600  0.07455063
-1.94900000  0.98724997  1.65753600  0.05179977
-1.92000000  0.97974998  3.09440000  0.09987831
-1.94350000  0.98549998  2.18769600  0.07327461
-1.93950000  0.98449999  2.18974400  0.07431221
-1.94450000  0.98575002  1.77886400  0.06050110
-1.94450000  0.98575002  1.97086400  0.06649971
-1.93800000  0.98425001  2.29798400  0.07506180
-1.93050000  0.98224998  2.43486400  0.08091927
-1.93500000  0.98325002  2.36960000  0.08201981
-1.92750000  0.98100001  2.74360000  0.09844589
-1.94500000  0.98600000  1.80640000  0.05972862
