# E          M           C            S
-0.63350000  0.45774999  0.57748615  0.43401680
-0.70800000  0.49375001  0.71181975  0.49204318
-0.75350000  0.52300000  0.68854427  0.47412145
-0.78250000  0.54149997  0.71022332  0.47013344
-0.86350000  0.57999998  0.73576268  0.44808727
-0.89100000  0.59350002  0.78645547  0.47662390
-0.88850000  0.60124999  0.72131695  0.43320420
-0.82550000  0.56424999  0.75043816  0.46353919
-0.86200000  0.57975000  0.74048496  0.46792194
-0.88100000  0.59224999  0.76334229  0.45195890
-0.85500000  0.56950003  0.71658684  0.48242600
-0.84750000  0.58300000  0.74947047  0.45243259
-0.89400000  0.59175003  0.74754771  0.47388225
-0.85450000  0.58125001  0.78442915  0.46631749
-0.86050000  0.58249998  0.81481741  0.48354229
-0.93000000  0.61175001  0.75552941  0.46163939
-0.93850000  0.61274999  0.73332605  0.44495355
-0.91400000  0.61250001  0.70941444  0.43684040
-0.91450000  0.59375000  0.73414754  0.47456306
-0.86400000  0.57550001  0.75318676  0.49102762
-0.88650000  0.59050000  0.74359471  0.47788787
-0.94000000  0.61175001  0.77954762  0.46988480
-0.87400000  0.58525002  0.63852591  0.43410912
-0.90250000  0.60100001  0.69595163  0.43660418
-0.89750000  0.59350002  0.76121851  0.46508042
-0.86600000  0.58625001  0.75978307  0.45827008
-0.84700000  0.58099997  0.76508622  0.45746203
-0.83750000  0.57325000  0.71918664  0.46657368
-0.90350000  0.59950000  0.73066316  0.44412805
-0.93400000  0.60949999  0.73036946  0.46904892
-0.83600000  0.58200002  0.71246023  0.43186538
-0.86850000  0.59025002  0.72765218  0.44794809
-0.86800000  0.59425002  0.70849549  0.42822257
-0.85500000  0.58375001  0.72398375  0.42357341
-0.87400000  0.57700002  0.72380797  0.47959627
-0.87750000  0.58899999  0.73467664  0.44698687
-0.87300000  0.58249998  0.82344352  0.51520462
-0.86500000  0.58324999  0.73929971  0.46787963
-0.89300000  0.59724998  0.72759693  0.44728867
-0.88250000  0.58600003  0.79550537  0.49032432
-0.88250000  0.57775003  0.81813123  0.52004565
-0.87700000  0.59224999  0.79646654  0.46449192
-0.87900000  0.58275002  0.77294958  0.48579767
-0.85700000  0.58424997  0.76327615  0.45908032
-0.87750000  0.58499998  0.75208114  0.47836423
-0.88050000  0.58899999  0.70722278  0.43775192
-0.88850000  0.59974998  0.74872904  0.43413554
-0.91050000  0.59574997  0.76643290  0.47652089
-0.92950000  0.60825002  0.74605222  0.45514862
-0.89500000  0.60974997  0.75748742  0.42967667
-0.95150000  0.62349999  0.73886068  0.44754769
-0.88950000  0.59850001  0.82961124  0.46727022
-0.89350000  0.59750003  0.80588542  0.48314629
-0.90700000  0.60000002  0.76858453  0.46602890
-0.85150000  0.57950002  0.71197073  0.45114630
-0.91200000  0.59149998  0.75319025  0.48187477
-0.89950000  0.60124999  0.79803947  0.45958940
-0.82550000  0.57650000  0.73781989  0.44240234
-0.88650000  0.59025002  0.73402223  0.46081090
-0.91100000  0.60124999  0.84338559  0.48300632
-0.91650000  0.60825002  0.68382765  0.42084779
-0.90350000  0.59675002  0.80811320  0.48506952
-0.93850000  0.60675001  0.77118084  0.48389535
-0.88200000  0.59275001  0.73068622  0.44553387
-0.91300000  0.61224997  0.76437264  0.43037573
-0.87350000  0.58074999  0.77732463  0.49214093
-0.89450000  0.58674997  0.82931536  0.50992466
-0.86900000  0.58324999  0.74158666  0.45600636
-0.82850000  0.57550001  0.76964925  0.45177962
-0.85900000  0.58249998  0.79080659  0.46540250
-0.90350000  0.59399998  0.75894548  0.46590513
-0.86300000  0.57849997  0.80536024  0.50079304
-0.88350000  0.59025002  0.74152357  0.46443892
-0.88800000  0.59324998  0.77268329  0.46944964
-0.91150000  0.60450000  0.76065112  0.45853429
-0.88700000  0.59775001  0.72225374  0.45370018
-0.90200000  0.59574997  0.75604458  0.46068980
-0.87550000  0.58025002  0.70118342  0.46255233
-0.82800000  0.56300002  0.75607939  0.47608683
-0.82300000  0.56674999  0.68559986  0.44532030
-0.83700000  0.57200003  0.68909817  0.42449060
-0.88400000  0.57650000  0.70234822  0.48593795
-0.85800000  0.57650000  0.71503958  0.45790364
-0.85450000  0.57450002  0.78486426  0.48489291
-0.85600000  0.59050000  0.75581484  0.44061877
-0.89850000  0.58324999  0.77114603  0.50415936
-0.86500000  0.58375001  0.75844466  0.47007746
-0.86050000  0.57900000  0.78174886  0.49345128
-0.84350000  0.57674998  0.75515130  0.46479277
-0.88250000  0.59474999  0.77592531  0.47125964
-0.90350000  0.60325003  0.81420477  0.46963412
-0.92200000  0.61049998  0.73823978  0.44842886
-0.91300000  0.61100000  0.72390717  0.41585233
-0.88050000  0.58850002  0.75203937  0.47449984
-0.87150000  0.58099997  0.74336845  0.47626140
-0.88200000  0.59425002  0.69587722  0.42228585
-0.86400000  0.58174998  0.74187384  0.45731247
-0.86600000  0.57975000  0.75021059  0.48870021
-0.90200000  0.58950001  0.68338079  0.47389058
-0.89300000  0.58999997  0.76197082  0.47440642
