# E          M           C            S
-1.68750000  0.89674997  4.25019523  0.63949871
-1.78750000  0.92874998  3.00124132  0.46832177
-1.82550000  0.94550002  2.55310343  0.34407946
-1.87800000  0.95975000  1.73852349  0.26042990
-1.90400000  0.97074997  1.39174673  0.18007333
-1.94750000  0.98250002  0.74905438  0.12288634
-1.94750000  0.98425001  0.60406381  0.08495230
-1.96450000  0.98949999  0.43105189  0.05600973
-1.96850000  0.99024999  0.34474943  0.05341261
-1.97400000  0.99175000  0.35941383  0.05854146
-1.96900000  0.99175000  0.32853338  0.03222567
-1.96650000  0.99100000  0.23913525  0.02767481
-1.97800000  0.99374998  0.19857095  0.02621692
-1.97100000  0.99199998  0.22800658  0.02868932
-1.98050000  0.99500000  0.15002455  0.01323813
-1.97650000  0.99400002  0.15844926  0.01389444
-1.97900000  0.99449998  0.13287242  0.01317044
-1.98250000  0.99524999  0.10499098  0.01207227
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98700000  0.99675000  0.06441651  0.00504900
-1.97500000  0.99374998  0.12082548  0.00947058
-1.98000000  0.99500000  0.09767786  0.00765601
-1.97750000  0.99425000  0.11313080  0.00954587
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98700000  0.99675000  0.06441651  0.00504900
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98100000  0.99524999  0.09298729  0.00728793
-1.97800000  0.99449998  0.10699796  0.00838610
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98100000  0.99524999  0.10316207  0.00808494
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98300000  0.99575001  0.08354510  0.00654796
-1.98400000  0.99599999  0.07879347  0.00617607
-1.97400000  0.99349999  0.12539395  0.00982802
-1.98200000  0.99550003  0.08827637  0.00691756
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98000000  0.99500000  0.10785264  0.00845302
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98650000  0.99650002  0.07064093  0.00622246
-1.97750000  0.99425000  0.12330558  0.01034364
-1.97600000  0.99400002  0.11623666  0.00910934
-1.97700000  0.99425000  0.12180226  0.00954587
-1.98800000  0.99699998  0.05958350  0.00467027
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98750000  0.99675000  0.06581809  0.00584601
-1.97600000  0.99400002  0.11623666  0.00910934
-1.98600000  0.99650002  0.07940396  0.00622246
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98900000  0.99725002  0.05473013  0.00428849
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98450000  0.99599999  0.08022557  0.00697308
-1.98450000  0.99599999  0.08022557  0.00697308
-1.99250000  0.99800003  0.04139862  0.00393562
-1.98350000  0.99575001  0.10024954  0.00893975
-1.97900000  0.99475002  0.10234808  0.00802106
-1.97200000  0.99299997  0.13446986  0.01053985
-1.97850000  0.99449998  0.10849111  0.00918387
-1.97750000  0.99425000  0.13348036  0.01114065
-1.98350000  0.99524999  0.10024954  0.01526259
-1.97800000  0.99425000  0.13752229  0.01353320
-1.98200000  0.99500000  0.14932503  0.01961725
-1.97450000  0.99325001  0.20323863  0.02214593
-1.97900000  0.99475002  0.11252286  0.00881883
-1.98800000  0.99699998  0.05958350  0.00467027
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98600000  0.99650002  0.06922918  0.00542545
-1.97300000  0.99325001  0.17064119  0.01337426
-1.97050000  0.99250001  0.19591279  0.01682543
-1.97500000  0.99325001  0.18187414  0.02214593
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98600000  0.99650002  0.07940396  0.00622246
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98600000  0.99650002  0.07940396  0.00622246
-1.98200000  0.99550003  0.08827637  0.00691756
-1.98100000  0.99524999  0.10316207  0.00808494
-1.98400000  0.99599999  0.07879347  0.00617607
-1.98400000  0.99599999  0.07879347  0.00617607
-1.97800000  0.99449998  0.12734751  0.00998088
-1.97700000  0.99425000  0.13197704  0.01034364
-1.98700000  0.99675000  0.06441651  0.00504900
-1.98900000  0.99725002  0.05473013  0.00428849
-1.99100000  0.99774998  0.04496234  0.00352418
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98900000  0.99725002  0.05473013  0.00428849
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97900000  0.99475002  0.10234808  0.00802106
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98100000  0.99524999  0.09298729  0.00728793
-1.98000000  0.99500000  0.09767786  0.00765601
-1.98600000  0.99650002  0.06922918  0.00542545
-1.98500000  0.99624997  0.07402150  0.00580190
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98800000  0.99699998  0.05958350  0.00467027
-1.98400000  0.99599999  0.08896825  0.00697308
