# E          M           C            S
-0.44900000  0.35975000  0.29001756  0.27903366
-0.54000000  0.41900000  0.31906540  0.31667348
-0.59150000  0.44900000  0.35111590  0.34050403
-0.60500000  0.46700001  0.32937534  0.30835470
-0.60450000  0.46825001  0.32424240  0.31761894
-0.61800000  0.48350000  0.34418717  0.31063395
-0.60650000  0.47624999  0.36328354  0.33798730
-0.60000000  0.46024999  0.37696703  0.35260424
-0.63400000  0.46625000  0.39745156  0.37578385
-0.60300000  0.46924999  0.37235916  0.33174329
-0.60900000  0.46524999  0.36243608  0.33536132
-0.58150000  0.45500001  0.35045198  0.32983048
-0.64000000  0.48400000  0.37332823  0.32596157
-0.66400000  0.49274999  0.38412206  0.34284154
-0.65000000  0.48074999  0.37888219  0.36259075
-0.62250000  0.47749999  0.37648026  0.32878528
-0.64100000  0.48899999  0.37105429  0.33476393
-0.59150000  0.46024999  0.36452201  0.34158728
-0.62600000  0.47799999  0.38925468  0.35543960
-0.63800000  0.47674999  0.35265218  0.33696365
-0.60600000  0.46599999  0.39326375  0.35127233
-0.61550000  0.45975000  0.35913658  0.35553080
-0.63950000  0.48625001  0.39090268  0.34081209
-0.58750000  0.46175000  0.34788056  0.33731393
-0.64100000  0.48725000  0.37839574  0.33273987
-0.63200000  0.48425001  0.34642153  0.32048892
-0.61450000  0.47375000  0.39166874  0.34561440
-0.63600000  0.48750001  0.37282262  0.32697734
-0.58350000  0.46125001  0.36790546  0.32386295
-0.59850000  0.46974999  0.39187047  0.33216362
-0.62200000  0.47475001  0.36658176  0.33313528
-0.60900000  0.45975000  0.33817741  0.33603920
-0.61800000  0.47075000  0.33556896  0.33384487
-0.60550000  0.47150001  0.36259664  0.31723269
-0.61200000  0.46825001  0.38297552  0.34812736
-0.64500000  0.48725000  0.39066041  0.34008450
-0.62650000  0.49050000  0.34169332  0.30976157
-0.62200000  0.48600000  0.36019790  0.31097858
-0.62250000  0.48975000  0.35254078  0.30333868
-0.63000000  0.47999999  0.42401609  0.35864404
-0.60450000  0.46825001  0.35775767  0.31931387
-0.60100000  0.46425000  0.39809633  0.35001444
-0.62200000  0.45699999  0.37807271  0.36395943
-0.60300000  0.46974999  0.37012480  0.32255912
-0.66000000  0.48400000  0.38641514  0.35223274
-0.63950000  0.47600001  0.38547640  0.33044741
-0.59150000  0.45774999  0.38016247  0.34037822
-0.59850000  0.45524999  0.37623001  0.34786981
-0.63750000  0.48525000  0.39224840  0.34350824
-0.61850000  0.46700001  0.39813942  0.36654688
-0.58800000  0.44825000  0.32718057  0.33125729
-0.64200000  0.47000000  0.39271729  0.34395477
-0.59000000  0.46950001  0.38896869  0.33760340
-0.64000000  0.48500001  0.36726356  0.33118637
-0.63450000  0.47950000  0.37860736  0.33651860
-0.64200000  0.47099999  0.37931118  0.34987125
-0.64250000  0.48675001  0.37354368  0.33776572
-0.63400000  0.47250000  0.36297871  0.34573449
-0.59350000  0.47174999  0.40586390  0.33438738
-0.59450000  0.45850000  0.36380957  0.34645318
-0.59000000  0.45300001  0.35609180  0.34453552
-0.63650000  0.46750000  0.39993967  0.35426549
-0.60050000  0.46825001  0.32113984  0.31394662
-0.63400000  0.48199999  0.35851001  0.32989164
-0.61150000  0.47674999  0.39891825  0.33611611
-0.59950000  0.47525001  0.36384787  0.31262683
-0.62300000  0.47400001  0.35924670  0.32886543
-0.61350000  0.47674999  0.39068307  0.33752858
-0.59250000  0.46599999  0.35056178  0.31793899
-0.61350000  0.47174999  0.37025472  0.33749463
-0.66500000  0.49700001  0.36135849  0.32707796
-0.62500000  0.48550001  0.39851256  0.34368240
-0.62200000  0.47000000  0.39754349  0.36655361
-0.58950000  0.45725000  0.30497590  0.30996018
-0.63500000  0.48600000  0.38242523  0.33272990
-0.59950000  0.46474999  0.39449041  0.34735007
-0.64350000  0.46924999  0.40797057  0.36818388
-0.62350000  0.47375000  0.35797217  0.33375005
-0.64150000  0.47825000  0.33943343  0.33557368
-0.61500000  0.47700000  0.37444540  0.32614012
-0.61700000  0.48500001  0.41056018  0.31932202
-0.60050000  0.47125000  0.37572186  0.34527536
-0.65950000  0.48574999  0.37049986  0.33707666
-0.61500000  0.47700000  0.32145935  0.32811751
-0.62050000  0.47650000  0.35571483  0.32942477
-0.65800000  0.49399999  0.38243927  0.32893332
-0.63300000  0.48300001  0.41502889  0.35293102
-0.64550000  0.48850000  0.36733346  0.32115366
-0.61500000  0.46849999  0.35976252  0.33704069
-0.61500000  0.46799999  0.33678062  0.33237752
-0.64700000  0.49100000  0.37044400  0.32477514
-0.63800000  0.47350001  0.38552906  0.35332307
-0.63250000  0.48199999  0.39365285  0.34147353
-0.60500000  0.46799999  0.37597753  0.33576724
-0.59150000  0.46100000  0.36547959  0.33634578
-0.59350000  0.46125001  0.38830828  0.34928672
-0.58200000  0.45574999  0.39072553  0.33592403
-0.59200000  0.44725001  0.34030579  0.33106743
-0.57900000  0.45350000  0.36261483  0.31452085
-0.62950000  0.47125000  0.36433305  0.33171608
