# E          M           C            S
-0.44300000  0.37474999  0.29191967  0.28699970
-0.54000000  0.43224999  0.36917551  0.35487407
-0.57000000  0.44825000  0.32437551  0.30532891
-0.55750000  0.46100000  0.37233469  0.33333254
-0.58650000  0.48025000  0.37896196  0.31721681
-0.57600000  0.46849999  0.33923135  0.30403553
-0.57850000  0.47400001  0.35946155  0.30548109
-0.57900000  0.47075000  0.36572604  0.32308878
-0.56700000  0.46875000  0.38532049  0.31367861
-0.56500000  0.46149999  0.37684898  0.33208125
-0.59850000  0.48050001  0.38618482  0.33340454
-0.58900000  0.47600001  0.36842971  0.31565251
-0.57700000  0.46325001  0.37397029  0.33196878
-0.57600000  0.45324999  0.36404767  0.34958029
-0.56200000  0.45500001  0.36493845  0.31845713
-0.53000000  0.45150000  0.34821224  0.29753256
-0.58050000  0.46599999  0.38843396  0.33185836
-0.56250000  0.45375001  0.35130612  0.32950715
-0.53200000  0.45275000  0.37417273  0.31165116
-0.58600000  0.46274999  0.34821747  0.32579981
-0.57900000  0.46724999  0.34646073  0.31752545
-0.56950000  0.46200001  0.35858906  0.32911307
-0.55500000  0.46375000  0.40813061  0.34413576
-0.57750000  0.46750000  0.40733878  0.34231431
-0.53850000  0.44650000  0.36426808  0.33091545
-0.56400000  0.46075001  0.39399706  0.33510024
-0.60450000  0.47700000  0.39504294  0.32872452
-0.58300000  0.47674999  0.35475722  0.30767175
-0.58900000  0.47925001  0.40728686  0.33731740
-0.56950000  0.46024999  0.37883396  0.33663409
-0.60200000  0.46250001  0.40763559  0.37071419
-0.58200000  0.46100000  0.40950335  0.34561832
-0.56550000  0.46724999  0.37790661  0.32066836
-0.60000000  0.47200000  0.36277551  0.32927316
-0.60350000  0.48100001  0.39792686  0.33292116
-0.55350000  0.45524999  0.34744522  0.32298824
-0.50150000  0.44999999  0.33975216  0.28542859
-0.58250000  0.46024999  0.42327347  0.35491971
-0.56900000  0.45850000  0.38921012  0.34355545
-0.55750000  0.46500000  0.34849796  0.30325712
-0.59000000  0.46799999  0.37080816  0.31360470
-0.60150000  0.48899999  0.38148278  0.31258978
-0.61900000  0.48750001  0.40664686  0.31757137
-0.58250000  0.46325001  0.40335510  0.35139731
-0.54400000  0.45150000  0.32334890  0.30296115
-0.60300000  0.47825000  0.38777600  0.33912311
-0.58450000  0.47600001  0.42969437  0.34308113
-0.54900000  0.45600000  0.38184359  0.31829255
-0.60400000  0.47700000  0.43681176  0.34986734
-0.56750000  0.45875001  0.39943673  0.34664999
-0.58800000  0.48050001  0.39641600  0.32226167
-0.60250000  0.47775000  0.38807347  0.32987969
-0.55450000  0.45824999  0.37930416  0.32360315
-0.59200000  0.47225001  0.39155722  0.34633677
-0.57750000  0.46849999  0.39688980  0.33032124
-0.58100000  0.46550000  0.36628767  0.34084456
-0.58600000  0.47575000  0.36193176  0.32716887
-0.59450000  0.47624999  0.36858090  0.31727859
-0.60300000  0.46375000  0.41357192  0.35356433
-0.57550000  0.46399999  0.38586090  0.33578975
-0.57350000  0.46125001  0.37906645  0.32242135
-0.58850000  0.47299999  0.35956604  0.31752464
-0.58600000  0.47499999  0.38805420  0.32285711
-0.52450000  0.44275001  0.34190988  0.30830254
-0.56900000  0.45625001  0.38561829  0.32882145
-0.61700000  0.48249999  0.37036539  0.31688581
-0.60800000  0.47275001  0.36680620  0.34074824
-0.57450000  0.47950000  0.40368947  0.32179308
-0.57500000  0.45524999  0.40277551  0.35641684
-0.57150000  0.46924999  0.40817992  0.33724880
-0.56300000  0.45600000  0.33799967  0.31714964
-0.62450000  0.49225000  0.41322416  0.33786835
-0.55350000  0.46625000  0.38956767  0.31779282
-0.59500000  0.47825000  0.39343673  0.33998033
-0.60000000  0.48025000  0.41697959  0.34350252
-0.58550000  0.47950000  0.39257437  0.31722171
-0.57800000  0.47275001  0.35646171  0.31331975
-0.60900000  0.48275000  0.41321665  0.34021112
-0.62300000  0.48550001  0.45338253  0.35818168
-0.59650000  0.48525000  0.41151053  0.32143402
-0.57500000  0.46375000  0.39983673  0.33584997
-0.61050000  0.48374999  0.36494988  0.31465006
-0.62100000  0.48225001  0.38348931  0.33355979
-0.60500000  0.48400000  0.37972245  0.32968685
-0.60150000  0.47700000  0.39258482  0.33186742
-0.60050000  0.47850001  0.34811396  0.31360115
-0.63400000  0.49649999  0.38438400  0.32365840
-0.57000000  0.46024999  0.39294694  0.34491975
-0.56600000  0.45524999  0.39071869  0.34098830
-0.53900000  0.44725001  0.33270727  0.30656535
-0.54800000  0.44925001  0.36237845  0.33236878
-0.57150000  0.46924999  0.39185339  0.34382030
-0.53700000  0.44350001  0.34433437  0.31569249
-0.58750000  0.46575001  0.37742857  0.32563734
-0.58050000  0.47700000  0.38843396  0.31986747
-0.58650000  0.46524999  0.38549257  0.34433692
-0.57850000  0.47200000  0.39309420  0.32698747
-0.58750000  0.47499999  0.37057143  0.32085712
-0.59000000  0.46575001  0.35448163  0.31535169
-0.56800000  0.45574999  0.37142988  0.33576318
