# E          M           C            S
-0.57300000  0.43724999  0.45812460  0.37264135
-0.68250000  0.48824999  0.55984573  0.42157375
-0.68400000  0.50375003  0.52365353  0.40026619
-0.70200000  0.51700002  0.53928931  0.37442963
-0.72850000  0.51725000  0.58295267  0.42870926
-0.71300000  0.51950002  0.55141772  0.39893973
-0.73400000  0.52100003  0.62493346  0.44003145
-0.73250000  0.52275002  0.58170204  0.41759544
-0.71750000  0.51950002  0.59651988  0.41598165
-0.74450000  0.53399998  0.51394896  0.37812055
-0.75050000  0.53474998  0.56881941  0.39354215
-0.71400000  0.51700002  0.60894501  0.43498955
-0.69150000  0.50424999  0.59375487  0.43189634
-0.76800000  0.53724998  0.58000874  0.41579402
-0.74300000  0.53500003  0.59523406  0.42525864
-0.77350000  0.54275000  0.54984962  0.41699903
-0.75000000  0.53200001  0.60234515  0.40889106
-0.76150000  0.54549998  0.61344778  0.40501411
-0.78150000  0.54250002  0.58476045  0.42273268
-0.73950000  0.53100002  0.50975551  0.39185131
-0.74200000  0.53899997  0.55001743  0.38973355
-0.72450000  0.52300000  0.56859715  0.41251856
-0.75850000  0.53175002  0.57723298  0.42098917
-0.71850000  0.51450002  0.59883739  0.44450264
-0.74850000  0.52724999  0.60549060  0.42715134
-0.74600000  0.53825003  0.60343277  0.41390467
-0.72000000  0.51225001  0.56285560  0.41603737
-0.74700000  0.53224999  0.59862735  0.41626868
-0.71850000  0.53074998  0.57772197  0.40120855
-0.69950000  0.52100003  0.55318659  0.40138268
-0.71950000  0.52999997  0.58040696  0.38819246
-0.70300000  0.51499999  0.60573991  0.41795502
-0.71250000  0.51950002  0.53487767  0.39467910
-0.72950000  0.53224999  0.55337923  0.38614087
-0.77700000  0.54250002  0.56347944  0.40477772
-0.73450000  0.53600001  0.58513386  0.40148005
-0.72100000  0.53324997  0.61925082  0.41016789
-0.70750000  0.52399999  0.59763122  0.40985518
-0.69700000  0.50924999  0.59707148  0.44069723
-0.71000000  0.51725000  0.58886091  0.41957970
-0.73450000  0.52850002  0.58994965  0.40383551
-0.72500000  0.51875001  0.54140678  0.40349203
-0.69750000  0.51775002  0.53806351  0.38175850
-0.72800000  0.52600002  0.58199433  0.40449896
-0.75300000  0.52550000  0.64382176  0.45848938
-0.78400000  0.55049998  0.54839932  0.39019979
-0.77600000  0.55075002  0.59652766  0.40422716
-0.77550000  0.54449999  0.61193933  0.41640784
-0.77150000  0.54675001  0.61110656  0.43047207
-0.77150000  0.53549999  0.58591624  0.42021790
-0.72850000  0.52200001  0.59406605  0.42095434
-0.73950000  0.51775002  0.56717463  0.41766843
-0.72050000  0.51525003  0.55419421  0.42050464
-0.70550000  0.51875001  0.60885721  0.41688221
-0.73250000  0.51150000  0.53724853  0.42114545
-0.75850000  0.54350001  0.61761159  0.41592332
-0.75300000  0.53700000  0.52009280  0.38316986
-0.76000000  0.52649999  0.60182652  0.44788925
-0.76700000  0.54025000  0.55487027  0.40674950
-0.74050000  0.52675003  0.57942899  0.41054489
-0.73250000  0.52275002  0.54243477  0.39507555
-0.76800000  0.54325002  0.61927601  0.42531059
-0.76200000  0.53750002  0.59620463  0.40824705
-0.76550000  0.53500003  0.56401843  0.40852088
-0.74200000  0.53500003  0.58891426  0.42221536
-0.71600000  0.52275002  0.58210990  0.41485645
-0.73100000  0.52125001  0.58143569  0.43374159
-0.77750000  0.54275000  0.64327016  0.45564780
-0.75350000  0.53224999  0.58658304  0.42631128
-0.74800000  0.54974997  0.55677436  0.37763225
-0.76750000  0.54850000  0.55873439  0.39572855
-0.73900000  0.53974998  0.54178316  0.38442464
-0.73200000  0.52350003  0.59149256  0.42975159
-0.71250000  0.52300000  0.55858622  0.40217166
-0.74650000  0.53025001  0.55139067  0.41352984
-0.75400000  0.52225000  0.55527480  0.43261682
-0.73050000  0.52574998  0.59455800  0.42236497
-0.79500000  0.55100000  0.57711777  0.41734149
-0.78650000  0.54724997  0.56277077  0.41137537
-0.77050000  0.54675001  0.53930228  0.39030152
-0.78350000  0.55575001  0.60420145  0.40315609
-0.79950000  0.55725002  0.59556561  0.40385220
-0.77400000  0.54575002  0.56222437  0.40688082
-0.75600000  0.53600001  0.56932211  0.41030546
-0.75800000  0.53525001  0.55001743  0.40676169
-0.73250000  0.52700001  0.55169592  0.40911017
-0.72400000  0.51800001  0.57022600  0.42325494
-0.77750000  0.54400003  0.55658581  0.40171136
-0.77300000  0.53299999  0.56007133  0.41466099
-0.71700000  0.51400000  0.56998447  0.42174796
-0.74850000  0.53350002  0.52806739  0.39228360
-0.72050000  0.52375001  0.59642505  0.41341288
-0.74800000  0.53299999  0.61345260  0.41557389
-0.69500000  0.51225001  0.59786275  0.42425418
-0.75300000  0.53874999  0.57269613  0.40976115
-0.72900000  0.52074999  0.55909039  0.40006434
-0.75450000  0.53625000  0.56841933  0.40489192
-0.74950000  0.53324997  0.58215547  0.41351548
-0.74800000  0.53825003  0.58418737  0.39807994
-0.67400000  0.50325000  0.57452317  0.39693588
